Getting services from marketplace in org gerhard@lazu.co.uk / space dev as gerhard@lazu.co.uk...
OK

service                       plans                                                                                                                                                                                                    description   
API Management                Standard v2*                                                                                                                                                                                             Publish, manage, and consume APIs.   
AdvancedMobileAccess          Gold*, Bronze*                                                                                                                                                                                           Finely tune mobile apps with operational analytics, and ensure communications with back end systems are secure.   
AppScan Dynamic Analyzer      standard*                                                                                                                                                                                                A robust, practical security vulnerability assessment for your web applications.   
AppScan Mobile Analyzer       standard*                                                                                                                                                                                                A robust, practical security vulnerability assessment for your Android applications.   
AppServerOnCloud              WASLibertyCorePlan*, WASBasePlan*, BYOLPlan*, WASNDPlan*, WASV9BetaPlan                                                                                                                                  Allows you to quickly get up and running on a pre-configured WebSphere Liberty Web Profile Server or Full Profile Server in a hosted cloud environment on Bluemix.   
Auto-Scaling                  free                                                                                                                                                                                                     Automatically increase or decrease the number of application instances based on a policy you define.   
CloudIntegration              cloudintegrationplan*                                                                                                                                                                                    Bluemix Cloud Integration enables users to integrate cloud services with enterprise systems of record   
Cognitive Commerce™           Beta                                                                                                                                                                                                     Cognitive Commerce is a service provided by Cognitive Scale.   
Cognitive Graph               Beta                                                                                                                                                                                                     Cognitive Graph is a service provided by Cognitive Scale.   
Cognitive Insights™           Beta                                                                                                                                                                                                     Cognitive Insights™ is a service provided by Cognitive Scale.   
DataCache                     starter*, standard*, premium*                                                                                                                                                                            Improve the performance and user experience of web applications by retrieving information from fast, managed, in-memory caches, instead of relying entirely on slower disk-based databases.   
DataWorks                     free                                                                                                                                                                                                     Find, prepare, and deliver data with an intuitive app or with powerful APIs.   
Delivery Pipeline             Standard*                                                                                                                                                                                                Use IBM DevOps Services to automate builds and deployments, test execution, configure build scripts, and automate execution of unit tests. Automatically build and deploy your application to IBM's cloud platform, Bluemix.   
Document Generation           Free plan                                                                                                                                                                                                Generate documents from any standard data source with the Document Generation for Bluemix service.   
Elasticsearch by Compose      user-provided                                                                                                                                                                                            Elasticsearch combines the power of a full text search engine with the indexing strengths of a JSON document database to create a powerful tool for rich data analysis on large volumes of data. With Elasticsearch your searching can be scored for exactness letting you dig through your data set for those close matches and near misses which you could be missing.   
Gamification                  public                                                                                                                                                                                                   This service provides an easy-to-use platform to gamify your apps   
Geospatial Analytics          Standard*                                                                                                                                                                                                Expand the boundaries of your application. Leverage real-time geospatial analytics to track when devices enter or leave defined regions.   
GraphDataStore                Entry                                                                                                                                                                                                    A graph store service based on TinkerPop stack.   
